NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022
9,Jungle,Jungle,Busy Earnin',-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Busy Earnin',Busy Earnin',Busy Earnin',Busy Earnin',Busy Earnin',Busy Earnin',Busy Earnin',Busy Earnin',-,-,-,-,-,-,-,-,-,-,-,-,Busy Earnin',-,-,-,-,-
4,Justin Bieber,Justice,Off My Face,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Off My Face,Off My Face,Off My Face,-,Off My Face,-,-
8,Justin Bieber,Journals,Confident (feat. Chance The Rapper),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Confident (feat. Chance The Rapper),Confident (feat. Chance The Rapper),Confident (feat. Chance The Rapper),Confident (feat. Chance The Rapper),Confident (feat. Chance The Rapper),Confident (feat. Chance The Rapper),-,-,Confident (feat. Chance The Rapper),Confident (feat. Chance The Rapper),-,-,-,-,-,-
11,Justin Bieber,Justice,Lonely (feat. benny blanco),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lonely (feat. benny blanco),Lonely (feat. benny blanco),Lonely (feat. benny blanco),Lonely (feat. benny blanco),Lonely (feat. benny blanco),Lonely (feat. benny blanco),-,Lonely (feat. benny blanco),-,-,Lonely (feat. benny blanco),Lonely (feat. benny blanco),-,Lonely (feat. benny blanco),Lonely (feat. benny blanco),-,-,-,-,-,-,-,-
7,Justin Bieber,Justice,Anyone,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Anyone,Anyone,Anyone,Anyone,Anyone,-,-,Anyone,Anyone,-,-,-,-,-,-,-,-,-,-,-
23,Justin Bieber,Purpose,Love Yourself,Love Yourself,Love Yourself,Love Yourself,Love Yourself,Love Yourself,Love Yourself,Love Yourself,-,-,-,Love Yourself,Love Yourself,Love Yourself,Love Yourself,-,-,-,Love Yourself,Love Yourself,Love Yourself,-,-,-,-,Love Yourself,Love Yourself,-,-,-,-,-,-,-,Love Yourself,-,-,Love Yourself,-,-,-,-,Love Yourself,Love Yourself,Love Yourself,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Love Yourself,-,-,-,-,-,-,-,-,Love Yourself,-,-,-,-,-,-,-
4,Justin Bieber,Justice,Die For You (feat. Dominic Fike),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Die For You (feat. Dominic Fike),Die For You (feat. Dominic Fike),Die For You (feat. Dominic Fike),-,-,-,-,Die For You (feat. Dominic Fike),-,-,-,-,-,-,-,-,-
8,Justin Timberlake,The 20/20 Experience - 2 of 2,Amnesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Amnesia,Amnesia,Amnesia,Amnesia,Amnesia,Amnesia,Amnesia,-,-,Amnesia,-,-,-,-,-
28,Justin Timberlake,Man of the Woods,Say Something (feat. Chris Stapleton),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),-,-,Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),-,-,Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),-,Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),-,Say Something (feat. Chris Stapleton),-,-,Say Something (feat. Chris Stapleton),-,Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),-,-,-,-,-,-,Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),-,Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),Say Something (feat. Chris Stapleton),-,Say Something (feat. Chris Stapleton),-,-,-,-,Say Something (feat. Chris Stapleton),-,Say Something (feat. Chris Stapleton),-,-,-,Say Something (feat. Chris Stapleton),-,-,-
8,Justin Timberlake,The 20/20 Experience - 2 of 2,Drink You Away,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Drink You Away,Drink You Away,Drink You Away,Drink You Away,Drink You Away,Drink You Away,-,-,-,-,-,-,-,-,-,Drink You Away,Drink You Away,-,-,-,-,-,-,-,-,-,-
17,Justin Timberlake,FutureSex/LoveSounds,SexyBack (feat. Timbaland),-,-,-,-,-,-,SexyBack (feat. Timbaland),SexyBack (feat. Timbaland),-,SexyBack (feat. Timbaland),-,-,-,-,-,SexyBack (feat. Timbaland),-,-,-,-,-,-,-,-,SexyBack (feat. Timbaland),-,-,-,-,-,-,-,SexyBack (feat. Timbaland),SexyBack (feat. Timbaland),SexyBack (feat. Timbaland),SexyBack (feat. Timbaland),SexyBack (feat. Timbaland),SexyBack (feat. Timbaland),SexyBack (feat. Timbaland),-,-,-,SexyBack (feat. Timbaland),SexyBack (feat. Timbaland),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SexyBack (feat. Timbaland),-,-,-,-,SexyBack (feat. Timbaland),-,-,-,-,-,-,-,SexyBack (feat. Timbaland),-,-,-,-,-,-,-
16,Justin Timberlake,Justified,Cry Me a River,-,Cry Me a River,Cry Me a River,Cry Me a River,Cry Me a River,Cry Me a River,-,-,Cry Me a River,-,-,-,Cry Me a River,Cry Me a River,-,-,-,Cry Me a River,-,-,-,-,-,-,Cry Me a River,-,Cry Me a River,Cry Me a River,-,-,-,Cry Me a River,-,-,-,-,Cry Me a River,-,-,-,-,-,Cry Me a River,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cry Me a River,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Justin Timberlake,Justified,Rock Your Body,-,-,-,-,-,-,-,Rock Your Body,Rock Your Body,Rock Your Body,Rock Your Body,Rock Your Body,Rock Your Body,-,-,Rock Your Body,Rock Your Body,-,-,-,-,-,-,-,Rock Your Body,-,-,-,-,-,-,-,Rock Your Body,-,-,-,Rock Your Body,-,-,-,Rock Your Body,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Justin Timberlake,The 20/20 Experience - 2 of 2,TKO,-,-,-,-,-,-,TKO,TKO,-,TKO,TKO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TKO,-,-,-,-,-,-,-,TKO,-,-,TKO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TKO,TKO,TKO,-,-,-,-,TKO,-,TKO,-,-,-,-,-,-,-,-,-,-
9,Justin Timberlake,The 20/20 Experience - 2 of 2,Murder (feat. Jay-Z),Murder (feat. Jay-Z),Murder (feat. Jay-Z),Murder (feat. Jay-Z),-,-,-,-,-,-,-,-,Murder (feat. Jay-Z),-,-,-,-,-,-,-,-,-,-,-,-,Murder (feat. Jay-Z),-,-,-,-,-,-,-,-,-,-,-,Murder (feat. Jay-Z),Murder (feat. Jay-Z),Murder (feat. Jay-Z),-,-,-,-,-,-,Murder (feat. Jay-Z),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Justin Timberlake,FutureSex/LoveSounds,What Goes Around.../...Comes Around (Interlude),-,-,What Goes Around.../...Comes Around (Interlude),What Goes Around.../...Comes Around (Interlude),What Goes Around.../...Comes Around (Interlude),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What Goes Around.../...Comes Around (Interlude),-,-,-,-,-,-,-,-,-,-,-,What Goes Around.../...Comes Around (Interlude),What Goes Around.../...Comes Around (Interlude),-,-,-,-,-,-,-,-,-,What Goes Around.../...Comes Around (Interlude),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What Goes Around.../...Comes Around (Interlude),-,-,-,-,-,-,-,-,-,-,-,-,-,What Goes Around.../...Comes Around (Interlude),-,-
8,Justin Timberlake,FutureSex/LoveSounds,My Love (feat. T.I.),-,-,-,-,-,-,-,-,My Love (feat. T.I.),My Love (feat. T.I.),-,-,-,-,-,My Love (feat. T.I.),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,My Love (feat. T.I.),My Love (feat. T.I.),My Love (feat. T.I.),My Love (feat. T.I.),-,-,My Love (feat. T.I.),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Justin Timberlake,FutureSex/LoveSounds,Summer Love,-,-,-,-,-,-,-,Summer Love,Summer Love,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Summer Love,-,-,-,-,-,-,-,-,-,-,Summer Love,Summer Love,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,Justin Timberlake,FutureSex/LoveSounds,LoveStoned/I Think She Knows (Interlude),-,-,-,-,-,-,-,LoveStoned/I Think She Knows (Interlude),LoveStoned/I Think She Knows (Interlude),-,-,LoveStoned/I Think She Knows (Interlude),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LoveStoned/I Think She Knows (Interlude),-,-
16,Kacey Musgraves,Reboot,Neon Moon (with Brooks & Dunn),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),-,Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),-,Neon Moon (with Brooks & Dunn),Neon Moon (with Brooks & Dunn),-,-
6,Kacey Musgraves,Same Trailer Different Park,Follow Your Arrow,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Follow Your Arrow,Follow Your Arrow,-,Follow Your Arrow,Follow Your Arrow,-,Follow Your Arrow,-,-,-,-,-,-,-,-,-,-,Follow Your Arrow,-
39,Kanye West,808s & Heartbreak,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,-,-,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,Love Lockdown,-,Love Lockdown,Love Lockdown,-,-,Love Lockdown,-,-,-,-,Love Lockdown,Love Lockdown,-,-,Love Lockdown,Love Lockdown,-,Love Lockdown,-,-,Love Lockdown,-,-,-,-,-,-,Love Lockdown,-,-,-,-,-,-,-,-,-,-,-,-,-,Love Lockdown,-,-,-,Love Lockdown,Love Lockdown,-,-,-,-,-,-,-
19,Kanye West,Only One (feat. Paul McCartney) - Single,Only One (feat. Paul McCartney),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),-,Only One (feat. Paul McCartney),-,-,Only One (feat. Paul McCartney),-,-,-,-,-,-,-,-,Only One (feat. Paul McCartney),-,-,-,-,-,-,-,Only One (feat. Paul McCartney),Only One (feat. Paul McCartney),-,-,-,-,-,-
36,Kanye West,My Beautiful Dark Twisted Fantasy,Power,Power,Power,Power,Power,Power,Power,Power,-,Power,-,-,Power,Power,Power,Power,Power,Power,Power,Power,Power,Power,-,Power,Power,Power,-,-,Power,-,Power,Power,-,-,-,-,-,Power,-,-,-,Power,-,Power,-,-,-,-,-,-,Power,-,-,-,-,-,-,-,-,-,-,-,-,Power,Power,Power,-,-,-,-,Power,-,Power,Power,Power,-,Power,-,-,-,-,-,-
33,Kanye West,808s & Heartbreak,Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),-,-,Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),-,-,-,Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),-,-,-,-,Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),-,-,-,-,Amazing (feat. Young Jeezy),-,-,Amazing (feat. Young Jeezy),-,-,-,Amazing (feat. Young Jeezy),-,-,Amazing (feat. Young Jeezy),-,-,-,-,-,-,-,-,-,-,-,-,Amazing (feat. Young Jeezy),-,-,-,-,-,-,-,-,-,-,-,Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),Amazing (feat. Young Jeezy),-,-,-,-,-,-
22,Kanye West,My Beautiful Dark Twisted Fantasy,Lost In the World,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lost In the World,Lost In the World,Lost In the World,Lost In the World,Lost In the World,Lost In the World,Lost In the World,-,Lost In the World,Lost In the World,Lost In the World,-,Lost In the World,-,Lost In the World,Lost In the World,-,-,Lost In the World,-,-,-,Lost In the World,-,-,-,-,Lost In the World,-,-,-,-,Lost In the World,-,-,-,-,-,-,-,-,Lost In the World,-,Lost In the World,-,-,-,-,-,-,Lost In the World,-,-,-,Lost In the World,-,-,-,-,-,-,-,-,Lost In the World,-,-,-,-
22,Kanye West,The Life Of Pablo,Fade (feat. Post Malone & Ty Dolla $ign),-,-,-,-,-,-,-,-,-,-,Fade (feat. Post Malone & Ty Dolla $ign),Fade (feat. Post Malone & Ty Dolla $ign),Fade (feat. Post Malone & Ty Dolla $ign),Fade (feat. Post Malone & Ty Dolla $ign),Fade (feat. Post Malone & Ty Dolla $ign),-,Fade (feat. Post Malone & Ty Dolla $ign),Fade (feat. Post Malone & Ty Dolla $ign),Fade (feat. Post Malone & Ty Dolla $ign),Fade (feat. Post Malone & Ty Dolla $ign),Fade (feat. Post Malone & Ty Dolla $ign),-,-,-,Fade (feat. Post Malone & Ty Dolla $ign),-,-,-,Fade (feat. Post Malone & Ty Dolla $ign),-,-,Fade (feat. Post Malone & Ty Dolla $ign),-,Fade (feat. Post Malone & Ty Dolla $ign),-,-,Fade (feat. Post Malone & Ty Dolla $ign),-,-,-,-,Fade (feat. Post Malone & Ty Dolla $ign),-,-,-,Fade (feat. Post Malone & Ty Dolla $ign),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fade (feat. Post Malone & Ty Dolla $ign),-,-,-,-,-,-,-,-,-,-,-,-,Fade (feat. Post Malone & Ty Dolla $ign),Fade (feat. Post Malone & Ty Dolla $ign),Fade (feat. Post Malone & Ty Dolla $ign),-,Fade (feat. Post Malone & Ty Dolla $ign),-,-,-
25,Kanye West,808s & Heartbreak,See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),-,See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),-,-,-,-,See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),-,See You In My Nightmares (feat. Lil Wayne),-,-,-,-,-,-,-,See You In My Nightmares (feat. Lil Wayne),-,-,-,-,-,See You In My Nightmares (feat. Lil Wayne),-,-,-,-,-,-,-,-,-,-,-,-,-,-,See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),See You In My Nightmares (feat. Lil Wayne),-,-,-,-,-,-,-,See You In My Nightmares (feat. Lil Wayne),-,-,-,-,-,-,-,-,-,-,-,See You In My Nightmares (feat. Lil Wayne),-,-,-,-,-,-,See You In My Nightmares (feat. Lil Wayne),-
25,Kanye West,Graduation,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,Stronger,-,-,-,Stronger,-,-,-,Stronger,-,Stronger,-,Stronger,-,Stronger,-,-,-,-,-,-,-,-,-,Stronger,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Stronger,Stronger,-,-,-,-,-
23,Kanye West,The Life Of Pablo,Waves (feat. Chris Brown),-,-,-,-,Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),Waves (feat. Chris Brown),-,Waves (feat. Chris Brown),-,-,Waves (feat. Chris Brown),Waves (feat. Chris Brown),-,Waves (feat. Chris Brown),-,-,-,Waves (feat. Chris Brown),Waves (feat. Chris Brown),-,-,-,-,Waves (feat. Chris Brown),-,-,-,-,-,-,-,-,-,-,Waves (feat. Chris Brown),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Kanye West,Yeezus,Hold My Liquor,-,-,-,-,-,-,-,-,-,-,-,-,-,Hold My Liquor,Hold My Liquor,Hold My Liquor,Hold My Liquor,-,-,-,Hold My Liquor,-,-,Hold My Liquor,Hold My Liquor,-,-,Hold My Liquor,-,-,Hold My Liquor,-,-,-,Hold My Liquor,-,-,-,-,-,-,-,-,Hold My Liquor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hold My Liquor,-,-,-,-,-,-,-,-,Hold My Liquor,Hold My Liquor,-,-,Hold My Girl,Hold My Liquor,Hold My Liquor,Hold My Liquor,Hold My Liquor,Hold My Liquor,-,-,Hold My Liquor,-
23,Kanye West,808s & Heartbreak,Coldest Winter,Coldest Winter,Coldest Winter,Coldest Winter,Coldest Winter,Coldest Winter,Coldest Winter,Coldest Winter,-,Coldest Winter,-,-,-,-,Coldest Winter,Coldest Winter,-,Coldest Winter,Coldest Winter,Coldest Winter,Coldest Winter,-,-,-,Coldest Winter,-,-,Coldest Winter,-,-,-,Coldest Winter,-,-,-,-,-,-,-,Coldest Winter,-,-,-,-,-,Coldest Winter,-,-,-,-,-,-,-,Coldest Winter,-,-,-,-,-,-,-,-,-,-,-,-,-,Coldest Winter,-,-,-,-,-,Coldest Winter,Coldest Winter,-,-,-,-,-,-,-,-
15,Kanye West,My Beautiful Dark Twisted Fantasy,Dark Fantasy,-,-,-,-,-,-,-,-,-,-,-,-,Dark Fantasy,Dark Fantasy,Dark Fantasy,Dark Fantasy,Dark Fantasy,Dark Fantasy,-,-,Dark Fantasy,-,Dark Fantasy,Dark Fantasy,-,-,-,Dark Fantasy,-,-,-,Dark Fantasy,-,-,-,-,-,-,-,-,-,Dark Fantasy,Dark Fantasy,-,-,-,Dark Fantasy,-,-,-,-,-,-,-,-,-,-,-,-,Dark Fantasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Kanye West,808s & Heartbreak,Paranoid (feat. Mr Hudson),-,-,-,-,-,-,-,Paranoid (feat. Mr Hudson),Paranoid (feat. Mr Hudson),Paranoid (feat. Mr Hudson),Paranoid (feat. Mr Hudson),Paranoid (feat. Mr Hudson),-,Paranoid (feat. Mr Hudson),-,-,-,Paranoid (feat. Mr Hudson),-,Paranoid (feat. Mr Hudson),Paranoid (feat. Mr Hudson),-,-,-,-,-,Paranoid (feat. Mr Hudson),-,-,-,-,-,-,-,-,Paranoid (feat. Mr Hudson),-,-,-,-,-,-,-,-,-,-,-,-,-,-,Paranoid (feat. Mr Hudson),Paranoid (feat. Mr Hudson),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Paranoid (feat. Mr Hudson),Paranoid (feat. Mr Hudson),Paranoid (feat. Mr Hudson),-,-,-,-,-,-
15,Kanye West,The Life Of Pablo,Famous (feat. Rihanna),-,-,Famous (feat. Rihanna),Famous (feat. Rihanna),Famous (feat. Rihanna),Famous (feat. Rihanna),Famous (feat. Rihanna),Famous (feat. Rihanna),Famous (feat. Rihanna),Famous (feat. Rihanna),-,-,Famous (feat. Rihanna),Famous (feat. Rihanna),Famous (feat. Rihanna),-,-,Famous (feat. Rihanna),-,-,-,-,-,-,Famous (feat. Rihanna),-,-,-,Famous (feat. Rihanna),-,-,-,-,-,-,Famous (feat. Rihanna),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Kanye West,The College Dropout,Jesus Walks,-,-,Jesus Walks,Jesus Walks,Jesus Walks,Jesus Walks,-,Jesus Walks,-,-,-,-,Jesus Walks,Jesus Walks,-,-,-,Jesus Walks,Jesus Walks,-,Jesus Walks,-,-,-,Jesus Walks,-,-,-,-,-,Jesus Walks,-,-,-,-,-,-,-,-,Jesus Walks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jesus Walks,Jesus Walks,-,-,-,-,-
14,Kanye West,808s & Heartbreak,Welcome To Heartbreak (feat. Kid Cudi),Welcome To Heartbreak (feat. Kid Cudi),Welcome To Heartbreak (feat. Kid Cudi),Welcome To Heartbreak (feat. Kid Cudi),Welcome To Heartbreak (feat. Kid Cudi),Welcome To Heartbreak (feat. Kid Cudi),Welcome To Heartbreak (feat. Kid Cudi),Welcome To Heartbreak (feat. Kid Cudi),Welcome To Heartbreak (feat. Kid Cudi),-,Welcome To Heartbreak (feat. Kid Cudi),-,-,Welcome To Heartbreak (feat. Kid Cudi),-,-,-,-,Welcome To Heartbreak (feat. Kid Cudi),-,-,-,-,-,-,-,Welcome To Heartbreak (feat. Kid Cudi),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Welcome To Heartbreak (feat. Kid Cudi),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Welcome To Heartbreak (feat. Kid Cudi),-,-,-,-,-,-,-
13,Kanye West,My Beautiful Dark Twisted Fantasy,Hell of a Life,-,-,-,-,-,-,-,Hell of a Life,Hell of a Life,Hell of a Life,Hell of a Life,Hell of a Life,Hell of a Life,Hell of a Life,-,Hell of a Life,Hell of a Life,-,-,-,-,-,-,Hell of a Life,Hell of a Life,-,-,-,Hell of a Life,-,-,-,-,-,-,-,-,-,-,-,-,-,Hell of a Life,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
